ticker,caps_count,lower_count,caps_share,zipf,decided_by,classification
ANGL,1,0,1.0,1.35,wordfreq,normal
ANGO,7,0,1.0,1.65,wordfreq,normal
ANGX,0,0,,0.0,wordfreq,normal
ANIK,0,0,,1.91,wordfreq,normal
ANIP,1,0,1.0,0.0,wordfreq,normal
ANIX,0,0,,0.0,wordfreq,normal
ANNA,0,23,0.0,4.37,wordfreq,cashtag_only
ANNAW,0,0,,0.0,wordfreq,normal
ANNX,1,0,1.0,0.0,wordfreq,normal
ANPA,0,0,,0.0,wordfreq,normal
ANRO,0,0,,0.0,wordfreq,normal
ANSC,0,0,,0.0,wordfreq,normal
ANSCU,0,0,,0.0,wordfreq,normal
ANSCW,0,0,,0.0,wordfreq,normal
ANTA,0,0,,2.12,wordfreq,normal
ANTX,2,1,0.667,0.0,wordfreq,normal
ANVS,7,0,1.0,0.0,wordfreq,normal
AOCT,0,0,,0.0,wordfreq,normal
AOHY,0,0,,0.0,wordfreq,normal
AOMD,0,0,,0.0,wordfreq,normal
AOMN,0,0,,0.0,wordfreq,normal
AOMR,0,0,,0.0,wordfreq,normal
AORT,0,0,,0.0,wordfreq,normal
AOSL,0,0,,0.0,wordfreq,normal
AOTG,0,0,,0.0,wordfreq,normal
AOTS,0,0,,1.33,wordfreq,normal
AOUT,2,1,0.667,1.7,wordfreq,normal
APAC,10,0,1.0,2.52,wordfreq,normal
APACR,0,0,,0.0,wordfreq,normal
APACU,0,0,,0.0,wordfreq,normal
APAM,0,0,,1.26,wordfreq,normal
APCB,0,0,,0.0,wordfreq,normal
APDB,0,0,,0.0,wordfreq,normal
APEI,0,0,,0.0,wordfreq,normal
APGE,0,0,,0.0,wordfreq,normal
APHG,0,0,,0.0,wordfreq,normal
APHU,0,0,,0.0,wordfreq,normal
APIE,0,0,,0.0,wordfreq,normal
APLD,8,0,1.0,0.0,wordfreq,normal
APLE,2,1,0.667,0.0,wordfreq,normal
APLM,0,0,,0.0,wordfreq,normal
APLMW,0,0,,0.0,wordfreq,normal
APLU,0,0,,0.0,wordfreq,normal
APLX,0,0,,0.0,wordfreq,normal
APLY,0,0,,1.06,wordfreq,normal
